statename,1,2,3
Alabama,PASS VEH SPK-IG INT COM R,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,PASS VEH COM-IG INT COM ENG > 2500 CC
Alaska,ZINC ORES AND CONCENTRATES,LEAD ORES AND CONCENTRATES,"FISH MEAT, FROZEN, NESOI"
Arizona,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",COPPER ORES AND CONCENTRATES,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT"
Arkansas,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","RICE, SEMI- OR WHOLLY MILLED, POLISHED ETC OR NOT","PPR/PBRD,CTD/IMPG/CVR W/PLAST,BLEACH,WT>150G/M2"
California,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,"DIAMONDS, NONINDUSTRIAL, WORKED"
Colorado,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED","ELECTRONIC INTEGRATED CIRCUITS, NESOI","INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI"
Connecticut,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT, ETC",TURBOJET AND TURBOPROLLER PARTS
Delaware,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI",PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,PHY CHEM INS/APPR;MEAS VSCSTY & HEAT NESOI
District of Columbia,BOMB MINES OT AMMNTION,"PT ELEC MACH & APPR W INDIVIDUAL FUNCTIONS, NESOI","PARTS OF AIRPLANES OR HELICOPTERS, NESOI"
Florida,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS NTWK,"GOLD, NONMONETARY, UNWROUGHT NESOI"
Georgia,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",GAS TURBINE PARTS NESOI,PASS VEH SPK-IG INT COM R
Hawaii,"AIRPLANE & A/C UNLADEN WGHT > 2000, NOV 15000 KG",PETROL OIL BITUM MINERA,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI"
Idaho,"MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CELL ETC,PARTS & ACCESSORIES FOR ADP M
Illinois,"LT OILS, PREPS GT=70% PETRO","SOYBEANS, NESOI","MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI"
Indiana,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI",GEAR BOXES FOR MOTOR VEHICLES,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC
Iowa,"CORN (MAIZE), OTHER THAN SEED CORN","TRACTORS, EXCEEDING 130 KW","MEAT OF SWINE, NESOI, FRESH OR CHILLED"
Kansas,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","WHEAT AND MESLIN, NESOI","MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED"
Kentucky,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",PASS VEH SPK-IG INT COM R,ANTISERA AND OTHER BLOOD FRACTIONS
Louisiana,PETROL OIL BITUM MINERA,"SOYBEANS, NESOI","CORN (MAIZE), OTHER THAN SEED CORN"
Maine,"LOBSTERS, LIVE, FRESH,OR CHILLED","CIVILIAN AIRCRAFT, ENGINES, AND PARTS","ELECTRONIC INTEGRATED CIRCUITS, NESOI"
Maryland,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","COMPOSITE DIAGNOSTIC/LAB REAGENTS, EXC PHARMACEUT",PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC
Massachusetts,"GOLD, NONMONETARY, UNWROUGHT NESOI","INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI",MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC
Michigan,"MTR VEH TRANS GDS SPK IG IN C P ENG, GVW NOV 5 MT",PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESOI"
Minnesota,"MED NEEDLES. NESOI, CATHERERS ETC AND PARTS ETC","CIVILIAN AIRCRAFT, ENGINES, AND PARTS",LENSES PRISMS MIRRORS OPTCL E
Mississippi,PETROL OIL BITUM MINERA,"PIGMNTS\PREPS CONT =>80% TITANIUM DIOXIDE, DRY WT","LT OILS, PREPS GT=70% PETRO"
Missouri,"MTR VEH TRANS GDS SPK IG IN C P ENG, GVW NOV 5 MT","CIVILIAN AIRCRAFT, ENGINES, AND PARTS","MOTORCYCLES, CYCL,EXCD 800 CC"
Montana,CIGARETTES CONTAINING TOBACCO,"COAL NESOI, NOT AGGLOMERATED",COPPER OXIDES AND HYDROXIDES
Nebraska,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED",COMBINE HARVESTER-THRESHERS,"CORN (MAIZE), OTHER THAN SEED CORN"
Nevada,"GOLD, NONMONETARY, UNWROUGHT NESOI",GAMES COIN-/TOKEN-OPERATED EXC BOWLING ALLEY NESOI,"ELECTRONIC INTEGRATED CIRCUITS, NESOI"
New Hampshire,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",MACH FOR RECP/CONVR/TRANS/R,INSULATED OPTICAL FIBER CABLES WITH INDVULY SH FBR
New Jersey,PETROL OIL BITUM MINERA,"JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS METAL",PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS NTWK
New Mexico,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",PARTS & ACCESSORIES FOR ADP M,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI"
New York,"DIAMONDS, NONINDUSTRIAL, WORKED","PAINTINGS, DRAWING AND PASTELS BY HAND","JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS METAL"
North Carolina,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","IMMUNOLOGICAL PRODUCTS, IN MEASURED DOESE/RTL SALE","MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI"
North Dakota,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINERALS,"LT OILS, PREPS GT=70% PETRO","MECH FRONT-END SHOVEL LOADERS, SELF-PROPELLED"
Ohio,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","SOYBEANS, NESOI",PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC
Oklahoma,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I",TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL NESO
Oregon,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,"WHEAT AND MESLIN, NESOI"
Pennsylvania,"BITUMINOUS COAL, NOT AGGLOMERATED","MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI",VACCINES FOR HUMAN MEDICINE
Puerto Rico,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI","IMMUNOLOGICAL PRODUCTS, IN MEASURED DOESE/RTL SALE",POLYPEPTIDE PROTEIN& GLYCOPROTEIN HORMONES &DERIV
Rhode Island,FERROUS WASTE & SCRAP NESOI,WASTE AND SCRAP OF PRECIOUS METAL NESOI,WASTE & SCRAP GOLD EXCL SWPNGS CNTNG OTH PREC MTLS
South Carolina,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",PASS VEH SPK-IG INT COM R,PASS VEH COM-IG INT COM ENG > 2500 CC
South Dakota,"BREWING OR DISTILLING DREGS AND WASTE, W/NT PELLET","SOYBEAN OILCAKE & OTH SOLID RESIDUE,","MEAT, SWINE, HAMS, SHLDRS, BONE IN, FRSH OR CHLLD"
Tennessee,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI","CIVILIAN AIRCRAFT, ENGINES, AND PARTS",PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC
Texas,PETROL OIL BITUM MINERA,"LT OILS, PREPS GT=70% PETRO",CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINERALS
Unidentified,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESOI","PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NESOI","ARTICLES OF PLASTICS, NESOI"
Utah,"GOLD, NONMONETARY, UNWROUGHT NESOI","MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",FOOD PREPARATIONS NESOI
Vermont,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT","ELECTRONIC INTEGRATED CIRCUITS, NESOI","ARTCL/EQUIP F GEN PHYS EXERC, GYMN ETC NESOI; PTS"
Virgin Islands,PETROL OIL BITUM MINERA,"LT OILS, PREPS GT=70% PETRO","JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS METAL"
Virginia,"BITUMINOUS COAL, NOT AGGLOMERATED","MEMORIES, ELECTRONIC INTEGRATED CIRCUITS","SOYBEANS, NESOI"
Washington,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","SOYBEANS, NESOI","WHEAT AND MESLIN, NESOI"
West Virginia,"BITUMINOUS COAL, NOT AGGLOMERATED",SPARK-IGNTN RECPRCTING PISTON ENGINE,GEARS; BALL OR ROLLER SC
Wisconsin,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","TANK & OT ARMORED FIGHT VEH, MOTORIZED; AND PARTS",COMPUTED TOMOGRAPHY APPARATUS
Wyoming,DISODIUM CARBONATE,"RARE GASES, OTHER THAN ARGON","BENTONITE, INCLUDING CALCINED"
